Designator,Mid X,Mid Y,Rotation,Layer
C1,147.0,-118.6,180.0,top
C2,149.4,-118.0,90.0,top
C3,140.0,-107.8,270.0,top
C5,149.5,-120.9,270.0,top
LED1,144.88,-105.65,180.0,top
Q1,145.2,-120.1,0.0,top
Q2,145.2,-122.2,0.0,top
Q3,141.5,-105.845,270.0,top
Q4,148.275,-106.4,180.0,top
Q5,148.27,-104.3,180.0,top
R1,143.6,-120.1,270.0,top
R10,146.6,-104.7,90.0,top
R11,140.8,-97.38,270.0,top
R12,140.8,-100.28,270.0,top
R13,146.8,-120.1,90.0,top
R14,143.6,-122.2,270.0,top
R15,146.8,-122.2,270.0,top
R2,140.2,-113.9,0.0,top
R3,143.1,-106.5,90.0,top
R4,141.5,-104.2,180.0,top
R5,140.2,-114.9,0.0,top
R6,142.5,-114.9,0.0,top
R7,146.6,-106.5,270.0,top
R8,140.2,-115.9,0.0,top
R9,142.5,-115.9,0.0,top
S1,144.9,-110.08,180.0,top
S2,144.9,-102.1,0.0,top
U1,147.1675,-116.69,0.0,top
U2,148.2,-120.9,180.0,top
U4,144.9,-106.27,0.0,top
